Bus,,,,
Bike,,,,
Walk,Train,Metro,,
Bike,,,,
Train,Metro,,,
Bike,,,,
Walk,Train,Metro,,
Bike,,,,
Bus,Metro,,,
Bike,Walk,Metro,,
Bike,Walk,Train,Bus,Metro
Bike,Train,Car,Metro,
Bike,,,,
Bike,,,,
Train,Metro,,,
Walk,,,,
Bike,,,,
Car,Metro,,,
Walk,,,,
Walk,Train,Bus,,
Metro,,,,
Bike,,,,
Walk,Metro,,,
Train,Car,Metro,,
Bike,Metro,,,
Bike,,,,
Bike,,,,
Train,,,,
Metro,,,,
Bike,,,,
Bike,,,,
Bike,Car,,,
Bike,Walk,Metro,,
Bike,Metro,,,
Bike,,,,
Bike,Walk,Train,Bus,
Bike,,,,
Metro,,,,
Bike,,,,
Bike,Walk,Train,Metro,
Bike,,,,
Bike,Walk,,,
Walk,Train,Car,Metro,
Train,,,,
Car,,,,
Bike,,,,
Train,Car,,,
Bike,,,,
Walk,,,,
Bike,,,,
Train,Bus,Metro,,
Bike,Walk,Train,,
Bike,Walk,Bus,Metro,
Metro,,,,
Bike,,,,
Bike,Train,Bus,,
Bike,Bus,Metro,,
Walk,,,,
Bike,Bus,Metro,,
Walk,Metro,,,
Bike,,,,
Bike,Bus,Metro,,
Bike,,,,
Bike,Metro,,,
Walk,,,,
Bike,Walk,,,
Train,,,,
Metro,,,,
Bike,,,,
Walk,Metro,,,
Car,,,,
Bike,Train,Bus,,
Bike,Metro,,,
Bus,Metro,,,
Bike,Metro,,,
Bike,,,,
Walk,,,,
Bike,Walk,Train,Car,Metro
Train,Metro,,,
Metro,,,,
Bus,Metro,,,
